ANGGARAN TAHUN 2025;;;;;;;;;;;;;;
PT. PERSIJA JAKARTA HEBAT;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BIAYA;;;;;;;;;;;;;;
5-01. BOARDING SCHOOL;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0503-03;Perlengkapan Latihan; 34.175.000 ; 6.000.000 ; 3.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 ; 12.000.000 ; 1.200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 
5-0503-04;Medis;;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0504-01;Hotline; - ;;;;;;;;;;;;
5-0504-02;Promosi ; 32.000.000 ; 3.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 3.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 
;;;;;;;;;;;;;;
TOTAL BIAYA;; 400.155.000 ; 41.040.000 ; 33.240.000 ; 32.040.000 ; 36.115.000 ; 32.740.000 ; 27.740.000 ; 47.540.000 ; 29.740.000 ; 30.740.000 ; 27.740.000 ; 30.740.000 ; 30.740.000 
;;;;;;;;;;;;;;
5-06. SS - CILEDUG;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
5-0601-01;Gaji Pelatih dan Staff; 118.800.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 
Fasilitas;;;;;;;;;;;;;;
5-0602-01;Seragam; 17.500.000 ; 7.500.000 ;;;; 5.000.000 ;; 5.000.000 ;;;;;
Operasional Latihan;;;;;;;;;;;;;;
5-0603-01;Sewa Lapangan; 259.200.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 ; 21.600.000 
5-0603-02;Operasional Latihan Harian; 35.680.000 ; 640.000 ; 4.140.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 1.640.000 ; 4.640.000 ; 4.640.000 
5-0603-03;Perlengkapan Latihan; 34.175.000 ; 6.000.000 ; 3.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 ; 12.000.000 ; 1.200.000 ; 200.000 ; 200.000 ; 200.000 ; 200.000 
5-0603-04;Medis;;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
5-0604-01;Hotline; - ;;;;;;;;;;;;
5-0604-02;Promosi ; 32.000.000 ; 3.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 3.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 ; 2.500.000 
;;;;;;;;;;;;;;
TOTAL BIAYA;; 497.355.000 ; 49.140.000 ; 41.340.000 ; 40.140.000 ; 44.215.000 ; 40.840.000 ; 35.840.000 ; 55.640.000 ; 37.840.000 ; 38.840.000 ; 35.840.000 ; 38.840.000 ; 38.840.000 
;;;;;;;;;;;;;;
5-     . SS - CILANDAK;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
;Gaji Pelatih dan Staff; 49.500.000 ;;;;;;;; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 
Fasilitas;;;;;;;;;;;;;;
;Seragam; 12.500.000 ;;;;;;;; 7.500.000 ;;;; 5.000.000 
Operasional Latihan;;;;;;;;;;;;;;
;Sewa Lapangan; 75.000.000 ;;;;;;;; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 
;Operasional Latihan Harian; 12.200.000 ;;;;;;;; 640.000 ; 4.140.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 
;Perlengkapan Latihan; 19.975.000 ;;;;;;;; 6.000.000 ; 3.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 
;Medis; - ;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
;Hotline; - ;;;;;;;;;;;;
;Promosi ; 1.000.000 ;;;;;;;; 1.000.000 ;;;;
;;;;;;;;;;;;;;
TOTAL BIAYA;; 170.175.000 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40.040.000 ; 32.240.000 ; 31.040.000 ; 35.115.000 ; 31.740.000 
;;;;;;;;;;;;;;
5-     . SS - KUNINGAN;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
;Gaji Pelatih dan Staff; 59.400.000 ;;;;;;; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 
Fasilitas;;;;;;;;;;;;;;
;Seragam; 12.500.000 ;;;;;;; 7.500.000 ;;;; 5.000.000 ;
Operasional Latihan;;;;;;;;;;;;;;
;Sewa Lapangan; 90.000.000 ;;;;;;; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 
;Operasional Latihan Harian; 13.840.000 ;;;;;;; 640.000 ; 4.140.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 
;Perlengkapan Latihan; 20.175.000 ;;;;;;; 6.000.000 ; 3.200.000 ; 5.000.000 ; 5.575.000 ; 200.000 ; 200.000 
;Medis; - ;;;;;;;;;;;;
Operasional Lainnya;;;;;;;;;;;;;;
;Hotline; - ;;;;;;;;;;;;
;Promosi ; 1.000.000 ;;;;;;; 1.000.000 ;;;;;
;;;;;;;;;;;;;;
TOTAL BIAYA;; 196.915.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 40.040.000 ; 32.240.000 ; 31.040.000 ; 35.115.000 ; 31.740.000 ; 26.740.000 
;;;;;;;;;;;;;;
5-     . SS - PARIGI;;;;;;;;;;;;;;
Kode Akun;Uraian;Anggaran;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKOTBER;NOVEMBER;DESEMBER
Gaji;;;;;;;;;;;;;;
;Gaji Pelatih dan Staff; 59.400.000 ;;;;;;; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 ; 9.900.000 
Fasilitas;;;;;;;;;;;;;;
;Seragam; 12.500.000 ;;;;;;; 7.500.000 ;;;; 5.000.000 ;
Operasional Latihan;;;;;;;;;;;;;;
;Sewa Lapangan; 90.000.000 ;;;;;;; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 ; 15.000.000 
;Operasional Latihan Harian; 13.840.000 ;;;;;;; 640.000 ; 4.140.000 ; 1.140.000 ; 4.640.000 ; 1.640.000 ; 1.640.000 
